mesh_term,primary_category,category_label
"Pregnancy, High-Risk",womens_reproductive,Women's & Reproductive Health
"Pregnancy, Multiple",digestive_liver,Digestive System & Liver
"Pregnancy, Twin",digestive_liver,Digestive System & Liver
"Pregnancy, Unplanned",womens_reproductive,Women's & Reproductive Health
Pregnant Women,womens_reproductive,Women's & Reproductive Health
Premature Birth,childrens_health,Children's Health
Premedication,womens_reproductive,Women's & Reproductive Health
Premenopause,womens_reproductive,Women's & Reproductive Health
Prenatal Care,womens_reproductive,Women's & Reproductive Health
Prenatal Diagnosis,womens_reproductive,Women's & Reproductive Health
Prenatal Exposure Delayed Effects,womens_reproductive,Women's & Reproductive Health
Preoperative Care,digestive_liver,Digestive System & Liver
Preoperative Period,cancer,Cancer
Prescription Drugs,breathing_lungs,Breathing & Lungs
Pressure,ear_nose_throat,"Ear, Nose & Throat"
Prevalence,childrens_health,Children's Health
Preventive Health Services,medications_drug_safety,Medications & Drug Safety
Primary Health Care,medications_drug_safety,Medications & Drug Safety
Primary Prevention,childrens_health,Children's Health
Private Practice,childrens_health,Children's Health
Probability,cancer,Cancer
Problem-Based Learning,ear_nose_throat,"Ear, Nose & Throat"
Procollagen,bones_joints_muscles,"Bones, Joints & Muscles"
"Proctocolectomy, Restorative",childrens_health,Children's Health
Product Labeling,heart_blood_vessels,Heart & Blood Vessels
Professional Competence,medications_drug_safety,Medications & Drug Safety
Professional Role,digestive_liver,Digestive System & Liver
Professional-Patient Relations,cancer,Cancer
Prognosis,cancer,Cancer
Program Evaluation,medications_drug_safety,Medications & Drug Safety
Proliferating Cell Nuclear Antigen,cancer,Cancer
Prone Position,eye_health,Eye Health
Proportional Hazards Models,cancer,Cancer
Propranolol,childrens_health,Children's Health
Prospective Studies,childrens_health,Children's Health
Prostate,kidney_urinary,Kidney & Urinary Health
Prostate-Specific Antigen,cancer,Cancer
Prostatectomy,cancer,Cancer
Prostatic Hyperplasia,cancer,Cancer
Prostatic Neoplasms,cancer,Cancer
Prostheses and Implants,heart_blood_vessels,Heart & Blood Vessels
Prosthesis Design,heart_blood_vessels,Heart & Blood Vessels
Prosthesis Failure,bones_joints_muscles,"Bones, Joints & Muscles"
Prosthesis Fitting,heart_blood_vessels,Heart & Blood Vessels
Prosthesis Implantation,childrens_health,Children's Health
Prosthesis-Related Infections,infections,Infections & Infectious Disease
Protective Clothing,bones_joints_muscles,"Bones, Joints & Muscles"
Protective Devices,childrens_health,Children's Health
Protein Biosynthesis,kidney_urinary,Kidney & Urinary Health
Proteinuria,childrens_health,Children's Health
Proto-Oncogene Proteins c-kit,skin_dermatology,Skin & Dermatology
Proton Pump Inhibitors,digestive_liver,Digestive System & Liver
Pseudomonas aeruginosa,medications_drug_safety,Medications & Drug Safety
Psychiatric Nursing,mental_health,Mental Health
Psychiatric Status Rating Scales,mental_health,Mental Health
Psychiatry,mental_health,Mental Health
"Psychology, Child",childrens_health,Children's Health
Psychometrics,mental_health,Mental Health
Psychomotor Agitation,medications_drug_safety,Medications & Drug Safety
